
NewRunAt  09/28/2020 11:27:00
,Time,RandomCTR;LinUCBCTR;LinUCBaccesses;LinUCBclicks;
data,1241161200,0.0315;0.05;100.0;5.0
data,1241161200,0.03225;0.0418604651163;215.0;9.0
data,1241161200,0.0326666666667;0.0403726708075;322.0;13.0
data,1241161200,0.032125;0.0403800475059;421.0;17.0
data,1241161500,0.031;0.0355029585799;507.0;18.0

NewRunAt  09/28/2020 11:27:38
,Time,RandomCTR;LinUCBCTR;LinUCBaccesses;LinUCBclicks;
data,1241161200,0.0315;0.0618556701031;97.0;6.0
data,1241161200,0.03225;0.047619047619;210.0;10.0
data,1241161200,0.0326666666667;0.0444444444444;315.0;14.0
data,1241161200,0.032125;0.0424528301887;424.0;18.0
data,1241161500,0.031;0.0366795366795;518.0;19.0

NewRunAt  09/28/2020 11:27:55
,Time,RandomCTR;LinUCBCTR;LinUCBaccesses;LinUCBclicks;
data,1241161200,0.0315;0.05;100.0;5.0
data,1241161200,0.03225;0.0407239819005;221.0;9.0
